epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.60457,1.11889,3.03982,1.60247,0.00528,1,0.07102,0.02606,1.21235,3.71555,1.7871,0,0,0
2,10.127,1.54617,3.06738,1.91256,0.00531,1,0.08082,0.02978,1.20964,3.73392,1.77293,1.6505e-05,1.6505e-05,1.6505e-05
3,14.7409,1.21069,2.98601,1.59673,0.00537,1,0.13298,0.06111,1.16778,3.72646,1.71717,3.26799e-05,3.26799e-05,3.26799e-05
4,19.5262,1.33606,3.03722,1.75202,0.00391,0.85714,0.60067,0.12483,1.02755,3.66611,1.58974,4.85247e-05,4.85247e-05,4.85247e-05
5,24.4289,1.04156,2.92166,1.51036,0.00467,0.92857,0.65689,0.38885,0.93916,3.6314,1.52005,6.40395e-05,6.40395e-05,6.40395e-05
6,29.4833,1.18155,3.01115,1.60811,0.00458,0.92857,0.69093,0.53468,0.86502,3.63153,1.43561,7.92242e-05,7.92242e-05,7.92242e-05
7,34.3951,1.00294,2.84216,1.54186,0.00448,0.92857,0.50076,0.42083,0.87868,3.6859,1.4025,9.40788e-05,9.40788e-05,9.40788e-05
8,39.3806,0.90903,2.82335,1.43795,0.00373,0.85714,0.52274,0.38241,0.89229,3.68233,1.43525,0.000108603,0.000108603,0.000108603
9,44.2021,0.66713,2.73986,1.32702,0.00304,0.78571,0.52179,0.31244,0.9433,3.6842,1.53148,0.000122798,0.000122798,0.000122798
10,49.0565,0.63053,2.66152,1.30505,0.00297,0.78571,0.52177,0.31427,1.06804,3.64292,1.76515,0.000136662,0.000136662,0.000136662
11,53.9163,0.55334,2.54657,1.24483,0.00287,0.78571,0.51174,0.44019,1.1607,3.58159,1.90717,0.000150197,0.000150197,0.000150197
12,58.7491,0.55058,2.55789,1.22361,0.00278,0.78571,0.52172,0.43154,1.17129,3.55409,1.97812,0.000163401,0.000163401,0.000163401
13,63.6828,0.4062,2.42065,1.17275,0.00268,0.78571,0.37086,0.2729,1.20416,3.54865,2.11427,0.000176275,0.000176275,0.000176275
14,68.5466,0.4205,2.40376,1.13741,0.00263,0.78571,0.53667,0.41653,1.27389,3.49877,2.22079,0.000188819,0.000188819,0.000188819
15,73.2633,0.50631,2.29824,1.23846,0.0026,0.78571,0.78541,0.66722,1.25208,3.48331,2.24783,0.000201034,0.000201034,0.000201034
16,78.052,0.46338,2.26602,1.13212,0.00261,0.78571,0.71375,0.60607,1.2702,3.43401,2.33103,0.000212918,0.000212918,0.000212918
17,82.8273,0.49842,2.06848,1.16052,0.00267,0.78571,0.74294,0.65529,1.25438,3.42367,2.27804,0.000224472,0.000224472,0.000224472
18,87.7496,0.48958,2.04197,1.14235,0.00267,0.78571,0.74294,0.65529,1.25438,3.42367,2.27804,0.000235695,0.000235695,0.000235695
19,92.5037,0.44191,1.9904,1.12492,0.00267,0.78571,0.77044,0.66753,1.2743,3.39843,2.18524,0.000246589,0.000246589,0.000246589
20,97.31,0.41914,1.89175,1.14492,0.00267,0.78571,0.77044,0.66753,1.2743,3.39843,2.18524,0.000257153,0.000257153,0.000257153
21,102.194,0.41916,1.97207,1.10709,0.00265,0.78571,0.4123,0.27668,1.38203,3.41734,2.22355,0.000267387,0.000267387,0.000267387
